,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
19139,19139,IfcDoor,1JVzk5PcbAP8X13ISO0Ci5,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1123908,,1060mm - 2110mm S/O Laminate,"#975629=IfcLocalPlacement(#975608,#975628)","#19133=IfcProductDefinitionShape($,$,(#19126,#19131))",1123908,2109.99999999998,1060.0,,PTH0027.D1
32630,32630,IfcDoor,1JVzk5PcbAP8X13ISO0Cl5,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1123972,,1510mm - 2110mm S/O Laminate,"#975954=IfcLocalPlacement(#975933,#975953)","#32624=IfcProductDefinitionShape($,$,(#32617,#32622))",1123972,2110.00000000001,1510.0,,PTH0030.D1
46844,46844,IfcDoor,2pM47nzyP1XRBkBZzbsyBw,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1140201,,1060mm - 2110mm S/O Laminate,"#976106=IfcLocalPlacement(#976085,#976105)","#46838=IfcProductDefinitionShape($,$,(#46831,#46836))",1140201,2109.99999999998,1060.0,,MOR0014.D1
59630,59630,IfcDoor,2pM47nzyP1XRBkBZzbsyjZ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1141872,,1060mm - 2110mm S/O Laminate,"#976215=IfcLocalPlacement(#976194,#976214)","#59624=IfcProductDefinitionShape($,$,(#59617,#59622))",1141872,2109.99999999998,1060.00000000011,,MOR0023.D1
60455,60455,IfcDoor,2pM47nzyP1XRBkBZzbsyfG,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:1142083,,1060mm - 2110mm S/O Laminate,"#976032=IfcLocalPlacement(#976009,#976031)","#60449=IfcProductDefinitionShape($,$,(#60442,#60447))",1142083,2109.99999999998,1060.0,,MOR0022.D2
73998,73998,IfcDoor,3V0RmZpq18OhvRjVt9WpjD,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:1150477,,1510mm - 2110mm S/O Laminate,"#976252=IfcLocalPlacement(#976231,#976251)","#73992=IfcProductDefinitionShape($,$,(#73985,#73990))",1150477,2110.00000000001,1510.0,FD30S,PTH0021.D1
84754,84754,IfcDoor,3V0RmZpq18OhvRjVt9WpiP,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door:810mm - 2110mm S/O Laminate:1150553,,810mm - 2110mm S/O Laminate,"#976287=IfcLocalPlacement(#976268,#976286)","#84748=IfcProductDefinitionShape($,$,(#84741,#84746))",1150553,2109.99999999998,809.999999999989,,PTH0007.D1
97796,97796,IfcDoor,2AC4qxm0n0VBRcIintBY2Q,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1d - Single Door1:900mm - 2110mm S/O Cold Room:1193764,,900mm - 2110mm S/O Cold Room,"#976324=IfcLocalPlacement(#976303,#976323)","#97790=IfcProductDefinitionShape($,$,(#97783,#97788))",1193764,2109.99999999998,900.000000000003,,PTH0042.D1
132371,132371,IfcDoor,2AC4qxm0n0VBRcIintBb7x,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:1197637,,1060mm-2110mm S/O Laminate,"#976363=IfcLocalPlacement(#976340,#976362)","#132365=IfcProductDefinitionShape($,$,(#132358,#132363))",1197637,2109.99999999998,1060.0,,PTH0033.D1
158723,158723,IfcDoor,2AC4qxm0n0VBRcIintBbYI,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624462820)",IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Laminate:1199916,,1060mm - 2110mm S/O Laminate,"#975775=IfcLocalPlacement(#975756,#975774)","#158717=IfcProductDefinitionShape($,$,(#158710,#158715))",1199916,2109.99999999998,1060.0,,PTH0001.D1
