,Assembly Code,Assembly Description,Access Control,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,OmniClass Number,OmniClass Title,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,DOOR_Power,Vision Panel,Accessories & Sundry Items,Durability Rating,Fire Designation,Main Panel Width,Secondary Panel Width,Acoustic Designation,AssetIdentifier,Colour,Comments,Constituents,Features,Grade,InstallationDate,Material,NBSDescription,NBSNote,NBSReference,NBSTypeID,NominalHeight,NominalLength,NominalWidth,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts
IfcText('ADM1018.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2I8TWS6Eb15elK8$6rW9Wo'),IfcText('03'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ADM1018.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('157'),IfcLengthMeasure(810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM1019.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1NXmtye5jChuzZzla5B880'),IfcText('03'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ADM1019.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('157'),IfcLengthMeasure(810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM1017.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1NXmtye5jChuzZzla5B8Fh'),,IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ADM1017.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('154'),IfcLengthMeasure(1060.),IfcText('Delayed Close'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM1020.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1NXmtye5jChuzZzla5B8Jv'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ADM1020.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('273'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM1014.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Half Height/Edge'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('0njqnb4pn5Dh_CKyM05589'),,IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('ADM1014.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(122.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('286'),IfcLengthMeasure(1510.),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcText('FD60S'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2019.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0njqnb4pn5Dh_CKyM055FV'),,IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2019.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('157'),IfcLengthMeasure(810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2018.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0njqnb4pn5Dh_CKyM055F1'),,IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2018.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('157'),IfcLengthMeasure(810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2017.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0njqnb4pn5Dh_CKyM055F0'),,IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2017.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('154'),IfcLengthMeasure(1060.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2020.D1'),IfcText(''),IfcText(''),,IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0njqnb4pn5Dh_CKyM055F3'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ADM2020.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('273'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM2014.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Half Height/Edge'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('0njqnb4pn5Dh_CKyM055F2'),IfcText('17c'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ADM2014.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(122.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('286'),IfcLengthMeasure(1510.),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcText('FD60S'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ADM1002.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('05JC1PIX94tvN$4FrqkXcE'),IfcText('G02'),IfcText('L11/579'),IfcLabel('Level: Level 1'),,IfcText('ADM1002.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM1002.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM1005.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('05JC1PIX94tvN$4FrqkXby'),,IfcText('L11/579'),IfcLabel('Level: Level 1'),,IfcText('ADM1005.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM1005.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM1003.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('05JC1PIX94tvN$4FrqkXa2'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 1'),,IfcText('ADM1003.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ASM1003.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM1004.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('05JC1PIX94tvN$4FrqkXZN'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 1'),,IfcText('ADM1004.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM1004.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM1010.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('05JC1PIX94tvN$4FrqkXZz'),,IfcText('L11/579'),IfcLabel('Level: Level 1'),,IfcText('ADM1010.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM1010.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM1011.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('05JC1PIX94tvN$4FrqkXYD'),,IfcText('L11/579'),IfcLabel('Level: Level 1'),,IfcText('ADM1011.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM1011.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
IfcText('ADM1006.D1'),IfcText(''),IfcText(''),,IfcText(''),,,,,,,,,,,IfcText('IDT 6a'),,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),IfcText(''),IfcText(''),,IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),,IfcText('05JC1PIX94tvN$4FrqkXYf'),IfcText('G04'),IfcText('L11/579'),IfcLabel('Level: Level 1'),,IfcText('ADM1006.D1'),IfcText('23.30.10.00'),IfcText('Doors'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,,,,IfcLengthMeasure(0.),,,IfcLabel('IDT 6a - Single Door (Internal Glazing-Observation): 1060 - 2060mm S/O'),,IfcText('271'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),IfcText(''),IfcText(''),IfcText('Part of Glazed Screen ADM1006.S1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(1004.),IfcLengthMeasure(0.),IfcLengthMeasure(0.),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('')
