,Assembly Code,Assembly Description,Access Control,Acoustic Designation,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Acoustic Rating,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,IfcGUID,Ironmongery Set,Keynote,Level,Main Panel Width,Mark,OmniClass Number,OmniClass Title,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Secondary Panel Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Host Partition Thickness,Manufacturer,DOOR_Power,Vision Panel,Accessories & Sundry Items,Durability Rating,Comments,Solar Heat Gain Coefficient,Visual Light Transmittance,DOOR_Wall Thickness,FrameDepth,FrameWidth,Heat Transfer Coefficient (U),O/A Frame Width,Thermal Resistance (R)
IfcText('CLD1011.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxhl'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1011.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1010.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxhv'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1010.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1036.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1LxgB'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1036.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1012.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1LxgL'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1012.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1034.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxgd'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1034.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1035.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxgn'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1035.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1016.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1LxfK'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1016.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1015.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxfc'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1015.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1014.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxfm'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1014.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1013.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxe6'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1013.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1039.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1LxeR'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1039.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1037.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxeb'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1037.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1038.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxet'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1038.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1040.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxl1'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1040.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1031.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxjk'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1031.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1032.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1Lxju'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1032.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
IfcText('CLD1030.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.T.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('29Hsm7e3nBbgjoEQy1LxiT'),IfcText('01FP'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcLengthMeasure(900.),IfcText('CLD1030.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J182'),IfcLengthMeasure(1480.),,,,,,,,,,,,,,,
