,Assembly Code,Assembly Description,Type Comments,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Comments,Description,Door Panel Thickness,Door Panel Width,DOOR_Gas Suppression,DOOR_Material Frame,DOOR_Material Panel,EXT_DOOR_Access_Control,EXT_DOOR_Closer,EXT_DOOR_Drawing_Reference,EXT_DOOR_Location,EXT_DOOR_Operation/Security,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Fire Designation,Frame Thickness,Head Height,Height,Host Partition Thickness,Ironmongery Set,Keynote,Level,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Mark,Width,Door Panel Height,DOOR_Louvred,Manufacturer,Fire Rating,EXT_DOOR_Minimum_Clear_Width,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Finish,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,DOOR_DoubleSwing,DOOR_KickPlate,NominalWidth,DOOR_Vision Panel,NominalHeight,NominalLength,DOOR_GlazingThickness,DOOR_KickPlateHeight,DOOR_PanelHeight,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,DOOR_VisionPanelOffset,DOOR_VisionPanelWidth
IfcText('ED-40-B13'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Pumps'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B13'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B12'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText('Door abuts louvre panel'),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(1162.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Boiler Room'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_2410w x 3405h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_2410w x 3405h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3405.),IfcLengthMeasure(3405.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B12'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(3405.),IfcLengthMeasure(2410.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_2410w x 3405h'),IfcText('EDT 3rrrrr'),IfcLengthMeasure(2410.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B11'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(1162.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Boiler Room'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_2410w x 3405h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_2410w x 3405h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3405.),IfcLengthMeasure(3405.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B11'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(3405.),IfcLengthMeasure(2410.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_2410w x 3405h'),IfcText('EDT 3rrrrr'),IfcLengthMeasure(2410.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B08'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Water tanks'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B08'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B07'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Plant'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B07'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-002'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),,IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('LV switch & UPS'),IfcText('Monitored contact 24hr'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),,IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-40-002'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(-100.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('EDT 3llll'),IfcLengthMeasure(1810.),IfcLengthMeasure(2053.),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-005'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),,IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('LV switch & UPS'),IfcText('Monitored contact 24hr'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('FD60S'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),,IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-40-005'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(-100.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('EDT 3llll'),IfcLengthMeasure(1810.),IfcLengthMeasure(2053.),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B09'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),,IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC LV A'),IfcText(''),IfcText('EDT 3c'),"IfcText('Hinged, steel-framed louvred, double doorset')",IfcLabel('EDT 3c - Equal Double Door (Louvred): EDT 3c_1810w x 2805h'),IfcLabel('EDT 3c - Equal Double Door (Louvred): EDT 3c_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),IfcText('E1f'),IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B09'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c - Equal Double Door (Louvred): EDT 3c_1810w x 2805h'),IfcText('EDT 3aaaaa'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-007'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('N/A'),,IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Flammable store'),IfcText(''),IfcText('EDT 1c OP'),"IfcText('Hinged, steel-framed louvred, single doorset, with overpanel')",IfcLabel('EDT 1c OP - External Single Door (Louvred)_with over panel: EDT 1c OP_1060w x 2535h'),IfcLabel('EDT 1c OP - External Single Door (Louvred)_with over panel: EDT 1c OP_1060w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),IfcText('E1a'),IfcText('L20/482'),IfcLabel('Level: Level 0'),IfcText('ED-40-007'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1060.),IfcLengthMeasure(-100.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1c OP - External Single Door (Louvred)_with over panel: EDT 1c OP_1060w x 2535h'),IfcText('EDT 3jjjj'),IfcLengthMeasure(1060.),IfcLengthMeasure(2049.99999999999),,IfcText(''),IfcText('FD60'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B10'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),,IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC LV B'),IfcText(''),IfcText('EDT 3c'),"IfcText('Hinged, steel-framed louvred, double doorset')",IfcLabel('EDT 3c - Equal Double Door (Louvred): EDT 3c_1810w x 2805h'),IfcLabel('EDT 3c - Equal Double Door (Louvred): EDT 3c_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B10'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c - Equal Double Door (Louvred): EDT 3c_1810w x 2805h'),IfcText('EDT 3aaaaa'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B06'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Plant'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B06'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B01'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Oxygen Store'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B01'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B02'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Plant'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B02'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B03'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Nitrous Oxide Store'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B03'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B04'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Plant'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B04'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B05'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Plant'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2805.),IfcLengthMeasure(2805.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B05'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2805.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2805h'),IfcText('EDT 3vvvv'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-008'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('N/A'),,IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Bottle store'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2535h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.01335658579),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level 0'),IfcText('ED-40-008'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(-99.9866434142128),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2535h'),IfcText('EDT 3gggg'),IfcLengthMeasure(1810.),,,,IfcText('FD60'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-009'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(862.),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Dry linen hold'),IfcText(''),IfcText('EDT 3c OP'),"IfcText('Hinged, steel-framed louvred, double doorset, with overpanel')",IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2535h'),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.01335658579),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),,IfcText('L20/482'),IfcLabel('Level: Level 0'),IfcText('ED-40-009'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(-99.9866434142128),IfcLengthMeasure(38.),IfcLengthMeasure(260.),IfcLabel('EDT 3c OP - Equal Double Door (Louvred): EDT 3c OP_1810w x 2535h'),IfcText('EDT 3gggg'),IfcLengthMeasure(1810.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
